56
Z-coords file (Bohr)
8 -7.08250454225739556335e+00 -5.25192684539121934506e+00 9.22564294012663266287e-01
8 -4.48583187449254428003e+00 -5.69015433367785750107e+00 -2.47006101741899231072e+00
6 -4.74888175103200005367e+00 -3.60748717179470268501e-01 -3.42626243644891337325e+00
6 -2.22307381293833872249e+00 4.76381058741606455698e+00 -1.77804331060326670233e+00
6 -3.78531040011627517572e+00 2.83799069387180979973e+00 3.32213852698537870367e+00
6 -1.66371488006708045937e+00 -2.42338478214223540519e+00 3.81913649774598962239e+00
6 -6.76597541639274702163e+00 -1.77067337871746310896e+00 -1.92166249607021111245e+00
6 -5.57960535539080115797e+00 2.25916758191753164198e+00 -4.14152377459678966432e+00
6 -4.50378427267591252559e+00 4.44463584497702512977e+00 -3.43438825878454334628e+00
6 3.55551970336916367543e+00 -4.45861981829880704709e+00 -1.15745725129610055326e+00
6 -2.76448034762622896210e+00 6.44831245485336079781e+00 4.36526734774529301397e-01
6 -3.46311209587793245035e+00 5.58905398601362612965e+00 2.71742616712455875572e+00
6 -2.05091976299046141463e+00 2.02540846030883336937e+00 5.41444329210381525286e+00
6 8.42628878943560977177e+00 -1.00212176385685225455e+00 -1.78900372212574398922e+00
6 -1.10851334466986539695e+00 -3.17851934151843373844e-01 5.63195076904125446760e+00
6 1.91618229030897285758e-01 -2.49406053920096892895e+00 1.67694296293903577499e+00
6 1.70509988219505537188e+00 -4.41005385689748496958e+00 9.91161352334374856632e-01
6 6.19017586623777305022e+00 -4.98453059876526349825e+00 -2.40562135657132358801e-01
6 8.25016631462614746795e+00 -3.53189812681210035805e+00 -5.20241602092761490361e-01
6 9.23603643381174066462e+00 1.01213731231704695546e+00 3.74165772663882303939e-02
6 5.29425671058147706560e+00 3.57290518371516263585e+00 -5.21753382992413583530e-01
6 7.84198547172009341466e+00 3.05152974594766179806e+00 6.03578524186080822567e-01
6 -5.97418017019998615069e+00 -4.42233707670715769922e+00 -1.23418013195344200561e+00
6 5.50874062571961164991e+00 5.11303197523568808691e+00 -2.93757926063638841185e+00
1 -4.36715707386985751981e+00 -1.39272815380445047495e+00 -5.18503054058161616524e+00
1 -2.96554720727995135832e+00 -3.74732690501251797244e-01 -2.39447197243638987274e+00
1 -7.75732574133957797358e-01 5.71566563635948554634e+00 -2.91849302677828159602e+00
1 -1.32998924646889049583e+00 2.99483796221071019161e+00 -1.21679465160744326724e+00
1 -5.73286214409302807837e+00 2.60120801046380778487e+00 3.99733767129247530292e+00
1 -3.61825861070472409864e+00 1.63669179648580009889e+00 1.66522666096673255254e+00
1 -3.58348765001272706598e+00 -2.26956107560263919964e+00 3.07477337727981225868e+00
1 -1.62327474100138813284e+00 -4.21049877814341400040e+00 4.86925730516679511339e+00
1 -8.52890091799949345841e+00 -1.90541085139895183254e+00 -3.00069611319686169182e+00
1 -7.16735324525036698873e+00 -7.33591681556156949284e-01 -1.73665830847529178982e-01
1 -7.21969865890081852200e+00 2.36896066975476182748e+00 -5.37816055051216590499e+00
1 -5.34036602802086513009e+00 6.17845956426546916163e+00 -4.16325562502928825381e+00
1 3.00523145589581774928e+00 -5.97701475938683390865e+00 -2.45607704409721083749e+00
1 3.43344339572226076029e+00 -2.70363116641523415495e+00 -2.24027032067188081044e+00
1 -2.61235739459874150015e+00 8.47674447696149790943e+00 1.49099391228183386637e-01
1 -3.85201773231342237125e+00 6.95211343966240580272e+00 4.20501857238217535695e+00
1 -1.57943309491147876322e+00 3.39205839359428606983e+00 6.87576850422997765122e+00
1 6.71381897535475147265e+00 -5.33091739739803949227e-01 -2.83307740594794088551e+00
1 9.89933030353407694690e+00 -1.14215046968712341524e+00 -3.24390386542838493611e+00
1 1.34170554844119382931e-01 -7.37938051642656689388e-01 7.21289564485238443581e+00
1 3.21631386400973495743e-01 -7.72520039722197293663e-01 5.61626604220736402873e-01
1 1.57470877960006605534e+00 -6.15011367239699424658e+00 2.08380099755789371940e+00
1 6.45076909881529569901e+00 -6.78562856808822445487e+00 7.22820242646136201792e-01
1 1.00142256519076315868e+01 -4.26530083575580043487e+00 2.48121040155392630355e-01
1 1.10790863231000447087e+01 8.09180726538759498290e-01 9.23509157074945741250e-01
1 4.20879802463130570089e+00 1.84682934153743483208e+00 -8.57179770102712068613e-01
1 4.18782206464863371309e+00 4.64551373201829154169e+00 8.65494565050798358996e-01
1 8.59768694893366181020e+00 4.43556515957911301484e+00 1.91901687949582044901e+00
1 3.63129772096422298588e+00 5.52914966786491390849e+00 -3.69460354613715269423e+00
1 6.46758766132392359793e+00 6.91469686239601788458e+00 -2.59327116074063468432e+00
1 6.56490855673902551359e+00 4.09163500490827214406e+00 -4.39493604790096448198e+00
1 -6.54336567891898290839e+00 -6.97063275568314377750e+00 1.36041383707438789941e+00
