184
Z-coords file (Bohr)
8 7.56098319699726939547e+00 8.82672175523094715288e+00 0.00000000000000000000e+00
8 1.01421601105406864463e+01 1.14080876413868228525e+01 0.00000000000000000000e+00
8 1.50518575547731732200e+01 1.42426768282344156091e+01 0.00000000000000000000e+00
8 1.66883603786465180008e+01 1.14080876413868228525e+01 0.00000000000000000000e+00
8 1.24704916686172992968e+01 5.99213256838335439625e+00 0.00000000000000000000e+00
8 1.34153547308998302157e+01 9.51836151682176101474e+00 0.00000000000000000000e+00
8 1.01421601105406864463e+01 1.51875398905169447517e+01 0.00000000000000000000e+00
8 1.99615549990056599938e+01 1.51875398905169447517e+01 0.00000000000000000000e+00
8 5.92448037312392550291e+00 4.10240644381829255849e+00 0.00000000000000000000e+00
8 1.99615549990056599938e+01 9.51836151682176101474e+00 0.00000000000000000000e+00
8 4.28778857663812562606e+00 8.82672175523094715288e+00 0.00000000000000000000e+00
8 6.36270786141056277074e+00 1.14082766139992788368e+01 0.00000000000000000000e+00
8 2.32347496193648019869e+01 1.51875398905169447517e+01 0.00000000000000000000e+00
8 2.32347496193648019869e+01 1.14080876413868228525e+01 0.00000000000000000000e+00
8 1.17788519070264872113e+01 1.80221290773645357319e+01 0.00000000000000000000e+00
8 9.19729704825815552738e+00 1.30447794378726218412e+01 0.00000000000000000000e+00
8 1.66883603786465180008e+01 1.70772660150820065894e+01 0.00000000000000000000e+00
8 1.01459395627898185666e+00 6.93699563066588531512e+00 0.00000000000000000000e+00
8 1.24704916686172992968e+01 4.10240644381829255849e+00 0.00000000000000000000e+00
8 2.32347496193648019869e+01 2.08567182642121302649e+01 0.00000000000000000000e+00
8 2.48712524432381485440e+01 1.42426768282344156091e+01 0.00000000000000000000e+00
7 9.19729704825815552738e+00 4.10240644381829255849e+00 0.00000000000000000000e+00
7 2.65077552671114915483e+01 1.70772660150820065894e+01 0.00000000000000000000e+00
6 9.19748602087061151167e+00 9.77158481751347807176e+00 0.00000000000000000000e+00
6 9.19729704825815552738e+00 5.99213256838335439625e+00 0.00000000000000000000e+00
6 7.56098319699726939547e+00 6.93699563066588531512e+00 0.00000000000000000000e+00
6 1.17788519070264872113e+01 1.23529507036693537714e+01 0.00000000000000000000e+00
6 1.08339888447439562924e+01 6.93699563066588531512e+00 0.00000000000000000000e+00
6 1.08339888447439562924e+01 8.82672175523094715288e+00 0.00000000000000000000e+00
6 1.34153547308998302157e+01 1.14080876413868228525e+01 0.00000000000000000000e+00
6 1.17788519070264872113e+01 1.42426768282344156091e+01 0.00000000000000000000e+00
6 1.50518575547731732200e+01 1.23529507036693537714e+01 0.00000000000000000000e+00
6 1.34153547308998302157e+01 1.51875398905169447517e+01 0.00000000000000000000e+00
6 5.92448037312392550291e+00 5.99213256838335439625e+00 0.00000000000000000000e+00
6 1.83250521751323169894e+01 1.23529507036693537714e+01 0.00000000000000000000e+00
6 1.99615549990056599938e+01 1.14080876413868228525e+01 0.00000000000000000000e+00
6 1.83250521751323169894e+01 1.42426768282344156091e+01 0.00000000000000000000e+00
6 4.28778857663812562606e+00 6.93699563066588531512e+00 0.00000000000000000000e+00
6 8.25243398597562460850e+00 1.14082766139992788368e+01 0.00000000000000000000e+00
6 2.15980578228790029982e+01 1.23529507036693537714e+01 0.00000000000000000000e+00
6 1.34153547308998302157e+01 1.70772660150820065894e+01 0.00000000000000000000e+00
6 2.15980578228790029982e+01 1.42426768282344156091e+01 0.00000000000000000000e+00
6 1.66883603786465180008e+01 1.51875398905169447517e+01 0.00000000000000000000e+00
6 2.65128575276478173350e+00 5.99213256838335439625e+00 0.00000000000000000000e+00
6 1.08339888447439562924e+01 3.15754338153576208370e+00 0.00000000000000000000e+00
6 1.08339888447439562924e+01 1.26781725697070002390e+00 0.00000000000000000000e+00
6 2.32347496193648019869e+01 1.70772660150820065894e+01 0.00000000000000000000e+00
6 2.48712524432381485440e+01 1.80221290773645357319e+01 0.00000000000000000000e+00
6 2.48712524432381485440e+01 1.99118552019295975697e+01 0.00000000000000000000e+00
6 2.65077552671114915483e+01 2.08567182642121302649e+01 0.00000000000000000000e+00
6 2.65077552671114915483e+01 1.51875398905169447517e+01 0.00000000000000000000e+00
6 2.65077552671114915483e+01 2.27464443887771921027e+01 0.00000000000000000000e+00
6 2.81442580909848345527e+01 2.36913074510597212452e+01 0.00000000000000000000e+00
6 2.81442580909848345527e+01 2.55810335756247830830e+01 0.00000000000000000000e+00
6 2.97809498874706335414e+01 2.65258966379073157782e+01 0.00000000000000000000e+00
6 2.81442580909848345527e+01 1.42426768282344156091e+01 0.00000000000000000000e+00
6 2.97809498874706335414e+01 2.84156227624723776159e+01 0.00000000000000000000e+00
6 3.14174527113439765458e+01 2.93604858247549067585e+01 0.00000000000000000000e+00
6 3.14174527113439765458e+01 3.12502119493199685962e+01 0.00000000000000000000e+00
