12
Z-coords file (Bohr)
6 0.00000000000000000000e+00 2.62105013477174075831e+00 0.00000000000000000000e+00
6 2.26956107560263919964e+00 1.30958020432358779317e+00 0.00000000000000000000e+00
6 2.26956107560263919964e+00 -1.30958020432358779317e+00 0.00000000000000000000e+00
6 0.00000000000000000000e+00 -2.62105013477174075831e+00 0.00000000000000000000e+00
6 -2.26956107560263919964e+00 -1.30958020432358779317e+00 0.00000000000000000000e+00
6 -2.26956107560263919964e+00 1.30958020432358779317e+00 0.00000000000000000000e+00
1 0.00000000000000000000e+00 4.66573380155113781598e+00 0.00000000000000000000e+00
1 4.04212418044466659239e+00 2.33381176383785149397e+00 0.00000000000000000000e+00
1 4.04212418044466659239e+00 -2.33381176383785149397e+00 0.00000000000000000000e+00
1 0.00000000000000000000e+00 -4.66573380155113781598e+00 0.00000000000000000000e+00
1 -4.04212418044466659239e+00 -2.33381176383785149397e+00 0.00000000000000000000e+00
1 -4.04212418044466659239e+00 2.33381176383785149397e+00 0.00000000000000000000e+00
