14
Z-coords file (Bohr)
6 -8.10692507438411480436e-01 1.21509389809533474569e+00 0.00000000000000000000e+00
6 8.10692507438411480436e-01 -1.21509389809533474569e+00 0.00000000000000000000e+00
6 8.10692507438411480436e-01 3.63394333753861387137e+00 0.00000000000000000000e+00
6 -8.10692507438411480436e-01 -3.63394333753861387137e+00 0.00000000000000000000e+00
1 -2.03145558390744129795e+00 1.21509389809533474569e+00 1.65540008511899428001e+00
1 -2.03145558390744129795e+00 1.21509389809533474569e+00 -1.65540008511899428001e+00
1 2.03145558390744129795e+00 -1.21509389809533474569e+00 1.65540008511899428001e+00
1 2.03145558390744129795e+00 -1.21509389809533474569e+00 -1.65540008511899428001e+00
1 -3.83614403286707594809e-01 5.30446123165412863898e+00 0.00000000000000000000e+00
1 2.01255832266179091050e+00 3.70386320414752123753e+00 1.66295898961725452381e+00
1 2.01255832266179091050e+00 3.70386320414752123753e+00 -1.66295898961725452381e+00
1 3.83614403286707594809e-01 -5.30446123165412863898e+00 0.00000000000000000000e+00
1 -2.01255832266179091050e+00 -3.70386320414752123753e+00 1.66295898961725452381e+00
1 -2.01255832266179091050e+00 -3.70386320414752123753e+00 -1.66295898961725452381e+00
