24
Z-coords file (Bohr)
6 -2.42262889169240924758e+00 1.39839733217814576882e+00 4.81880161764090764187e-01
6 0.00000000000000000000e+00 -2.79679466435629153764e+00 4.81880161764090764187e-01
6 2.42262889169240924758e+00 1.39839733217814576882e+00 4.81880161764090764187e-01
6 0.00000000000000000000e+00 2.79679466435629153764e+00 -4.81880161764090764187e-01
6 -2.42262889169240924758e+00 -1.39839733217814576882e+00 -4.81880161764090764187e-01
6 2.42262889169240924758e+00 -1.39839733217814576882e+00 -4.81880161764090764187e-01
8 -4.69785914566874396314e+00 2.71175698875086368389e+00 -1.62516446712595297175e-01
8 0.00000000000000000000e+00 -5.42351397750172736778e+00 -1.62516446712595297175e-01
8 4.69785914566874396314e+00 2.71175698875086368389e+00 -1.62516446712595297175e-01
8 0.00000000000000000000e+00 5.42351397750172736778e+00 1.62516446712595297175e-01
8 -4.69785914566874396314e+00 -2.71175698875086368389e+00 1.62516446712595297175e-01
8 4.69785914566874396314e+00 -2.71175698875086368389e+00 1.62516446712595297175e-01
1 -2.37727546470284778479e+00 1.37194116643423491553e+00 2.55301999428739856413e+00
1 0.00000000000000000000e+00 -2.74388233286846983106e+00 2.55301999428739856413e+00
1 2.37727546470284778479e+00 1.37194116643423491553e+00 2.55301999428739856413e+00
1 0.00000000000000000000e+00 2.74388233286846983106e+00 -2.55301999428739856413e+00
1 -2.37727546470284778479e+00 -1.37194116643423491553e+00 -2.55301999428739856413e+00
1 2.37727546470284778479e+00 -1.37194116643423491553e+00 -2.55301999428739856413e+00
1 -4.71864613303895907848e+00 2.72498507162281899951e+00 -2.03523503615657164190e+00
1 0.00000000000000000000e+00 -5.44808041712107371524e+00 -2.03523503615657164190e+00
1 4.71864613303895907848e+00 2.72498507162281899951e+00 -2.03523503615657164190e+00
1 0.00000000000000000000e+00 5.44808041712107371524e+00 2.03523503615657164190e+00
1 -4.71864613303895907848e+00 -2.72498507162281899951e+00 2.03523503615657164190e+00
1 4.71864613303895907848e+00 -2.72498507162281899951e+00 2.03523503615657164190e+00
