49
Z-coords file (Bohr)
8 4.68689873414626667625e+00 3.04075830703764093954e+00 1.92204044129512419126e+00
7 8.93651484306817733838e-01 -4.23638802604995579060e+00 8.97808881780860934541e-01
7 -9.82336331332655987580e+00 -4.60526256556505586559e-01 3.77567279688099388668e-01
7 7.93325924353658606947e+00 8.88549223770492058172e-01 -1.08470279550034548466e-01
6 -1.39556274299129823291e+00 -2.61745965513506728684e+00 1.11720608484286443307e+00
6 -1.14649683977362304432e+00 3.79834951037577445154e-02 -1.27178568183228646316e-01
6 -3.87393855535837650095e+00 -4.10051671769372827470e+00 4.26889131539247457248e-01
6 3.51715826304049317130e+00 -5.41595507300346779012e-01 -4.65250571867918238933e-01
6 3.17738550584369505714e+00 -2.73500062008301414451e+00 1.40104294875253665431e+00
6 -6.08642990199915168148e+00 -2.37103936849178298374e+00 4.13094130829922523418e-01
6 -3.46915921947654082302e+00 1.59020453382149962174e+00 -3.48276524757340888439e-01
6 -5.72152378734563704654e+00 2.38861382145023837253e-01 -2.07869873702156825884e-03
6 1.11682813961795157631e+00 9.10659019427903282384e-01 -8.92139703407165751692e-01
6 -8.06289445568175011658e+00 1.41086952460027514888e+00 -4.89439066262351007985e-02
6 1.11172587908162601167e+00 -5.61985652184403772225e+00 -1.48608062435796450806e+00
6 5.41501020994118498209e+00 1.29295061442741543445e+00 5.61248658995823324069e-01
6 -8.64285140331076640052e+00 -2.76429137501377253372e+00 6.52900376037228835635e-01
6 -3.68553286073924013522e+00 4.19575891437180636956e+00 -7.70441340985175693312e-01
6 -8.30459042701362015748e+00 4.00281787705371350228e+00 -4.67896188442309290956e-01
6 -6.06148551715489158909e+00 5.36757808421460147486e+00 -8.33180248320735783452e-01
6 9.96925017014298475715e+00 2.52807560944313980400e+00 7.57402230725676806067e-01
6 8.71201537946984849725e+00 -1.20791293882198758070e+00 -1.72664276001509686687e+00
6 1.10626457058163278901e+01 1.59927521921941195870e+00 3.24447078326575466534e+00
6 8.67837825445258914669e+00 -4.49376872421571704752e-01 -4.49528050511536925171e+00
1 -1.57527569743743556252e+00 -2.20512141475497092102e+00 3.15187420316206656778e+00
1 -4.16684610466596172529e+00 -5.64839138632496950976e+00 1.77218515961711498008e+00
1 -3.74997252158690841384e+00 -4.92065785575496406068e+00 -1.47096281536144402047e+00
1 4.04873822188064469429e+00 -1.24646335176311473525e+00 -2.32889847591398213567e+00
1 4.83883271456129726573e+00 -3.97201534122330368604e+00 1.41634973036151401438e+00
1 3.06929317151857361523e+00 -2.01104654176213903938e+00 3.34632702137981130619e+00
1 1.28066739461774226072e+00 2.72290637288579784325e+00 -1.84569550586269581771e+00
1 -2.85915562646693821591e-01 -7.14221988779365180022e+00 -1.57981104013639161998e+00
1 2.95288604224536577192e+00 -6.55999526881515571120e+00 -1.62535343973840973320e+00
1 8.81368264497144782155e-01 -4.41137666518468041232e+00 -3.14960653181258853905e+00
1 -9.74040433645815362240e+00 -4.45824187307389419033e+00 9.66594912715029064287e-01
1 -2.01784955581057312557e+00 5.36625527592740603211e+00 -1.02744409392602409348e+00
1 -1.17121445748293400158e+01 -1.88027749394223675505e-01 4.52967352058245342761e-01
1 -1.01325225073054063785e+01 4.92708292457848529011e+00 -5.08903245345371124664e-01
1 -6.16919990625510106241e+00 7.39430935281063028697e+00 -1.15896903219575242439e+00
1 1.14366225058677528637e+01 2.65430931456408591984e+00 -6.96364076902225237475e-01
1 9.20617876104361165801e+00 4.43273057039226525688e+00 1.03708169716130593763e+00
1 1.06283866423912769505e+01 -1.78503529726415743895e+00 -1.19033848586353241394e+00
1 7.53509394909072760527e+00 -2.87578521636311101872e+00 -1.44412870439262031041e+00
1 9.60680069945140502341e+00 1.51707213280083164086e+00 4.71297695466526445074e+00
1 1.18659682813689375536e+01 -2.97064946781627758909e-01 3.04926207459818376933e+00
1 1.25604426321465965088e+01 2.87049398321432880365e+00 3.89000122741717957453e+00
1 6.81567521346880855759e+00 2.06358092802504750063e-01 -5.10566204334988427149e+00
1 1.00185720219941316600e+01 1.08508074072525850795e+00 -4.85848586625677469897e+00
1 9.21751711779100268984e+00 -2.05526613307696104371e+00 -5.68202851134222797214e+00
