15
Z-coords file (Bohr)
6 0.00000000000000000000e+00 0.00000000000000000000e+00 2.56275208382890840042e+00
6 0.00000000000000000000e+00 2.12480805446095555311e+00 5.14364553845364169682e-01
6 2.35303027852467838699e+00 1.26520943491880011322e+00 -9.84622899943379703558e-01
6 2.35303027852467838699e+00 -1.26520943491880011322e+00 -9.84622899943379703558e-01
6 0.00000000000000000000e+00 -2.12480805446095555311e+00 5.14364553845364169682e-01
6 -2.35303027852467838699e+00 -1.26520943491880011322e+00 -9.84622899943379703558e-01
6 -2.35303027852467838699e+00 1.26520943491880011322e+00 -9.84622899943379703558e-01
1 0.00000000000000000000e+00 4.08573905939962855882e+00 1.15804306639471543683e+00
1 -1.70133932720717084841e+00 0.00000000000000000000e+00 3.74194118555750732114e+00
1 0.00000000000000000000e+00 -4.08573905939962855882e+00 1.15804306639471543683e+00
1 1.70133932720717084841e+00 0.00000000000000000000e+00 3.74194118555750732114e+00
1 3.65900110595034666616e+00 -2.53211962334970897004e+00 -1.92952375674840226338e+00
1 3.65900110595034666616e+00 2.53211962334970897004e+00 -1.92952375674840226338e+00
1 -3.65900110595034666616e+00 -2.53211962334970897004e+00 -1.92952375674840226338e+00
1 -3.65900110595034666616e+00 2.53211962334970897004e+00 -1.92952375674840226338e+00
